primary;category
filipino_restaurant;Social, Cultural
logging_services;Others / Not sure
bookkeeper;Others / Not sure
canal;Recreational, Outdoors
health_department;Healthcare and Health
plastic_fabrication_company;Others / Not sure
abuse_and_addiction_treatment;Healthcare and Health
woodworking_supply_store;Shopping, Errands
falafel_restaurant;Social, Cultural
metal_supplier;Others / Not sure
comic_books_store;Shopping, Errands
foster_care_services;Social, Cultural
energy_management_and_conservation_consultants;Others / Not sure
poke;Social, Cultural
observatory;Social, Cultural
cabin;Social, Cultural
clinical_laboratories;Healthcare and Health
demolition_service;Others / Not sure
canoe_and_kayak_hire_service;Recreational, Outdoors
oil_and_gas_field_equipment_and_services;Others / Not sure
educational_research_institute;Education
home_inspector;Others / Not sure
federal_government_offices;Others / Not sure
packing_supply;Others / Not sure
book_magazine_distribution;Others / Not sure
railroad_freight;Others / Not sure
malaysian_restaurant;Social, Cultural
reflexology;Healthcare and Health
texmex_restaurant;Social, Cultural
gardener;Others / Not sure
piercing;Recreational, Outdoors
psychiatrist;Healthcare and Health
masonry_contractors;Others / Not sure
costume_store;Shopping, Errands
first_aid_class;Education
wig_store;Shopping, Errands
scuba_diving_center;Recreational, Outdoors
tax_law;Others / Not sure
paper_mill;Others / Not sure
media_news_website;Others / Not sure
newspaper_and_magazines_store;Shopping, Errands
hockey_field;Recreational, Outdoors
maternity_centers;Healthcare and Health
noodles_restaurant;Social, Cultural
land_surveying;Others / Not sure
fair;Social, Cultural
hunting_and_fishing_supplies;Shopping, Errands
wood_and_pulp;Others / Not sure
gymnastics_center;Recreational, Outdoors
government_services;Others / Not sure
swimwear_store;Shopping, Errands
tile_store;Shopping, Errands
framing_store;Shopping, Errands
executive_search_consultants;Others / Not sure
hearing_aids;Healthcare and Health
ice_cream_and_frozen_yoghurt;Social, Cultural
insulation_installation;Others / Not sure
jet_skis_rental;Recreational, Outdoors
personal_care_service;Recreational, Outdoors
commercial_printer;Others / Not sure
comfort_food_restaurant;Social, Cultural
pet_breeder;Others / Not sure
career_counseling;Education
airlines;Social, Cultural
paddleboarding_center;Recreational, Outdoors
donuts;Social, Cultural
tree_services;Others / Not sure
iron_and_steel_industry;Others / Not sure
steel_fabricators;Others / Not sure
secretarial_services;Others / Not sure
audio_visual_production_and_design;Others / Not sure
publicity_service;Others / Not sure
paving_contractor;Others / Not sure
b2b_equipment_maintenance_and_repair;Others / Not sure
livestock_breeder;Others / Not sure
metal_materials_and_experts;Others / Not sure
hair_removal;Recreational, Outdoors
onsen;Recreational, Outdoors
it_consultant;Others / Not sure
russian_restaurant;Social, Cultural
pediatrician;Healthcare and Health
distillery;Social, Cultural
gelato;Social, Cultural
hat_shop;Shopping, Errands
hawaiian_restaurant;Social, Cultural
aquarium;Recreational, Outdoors
traffic_school;Education
wholesale_grocer;Shopping, Errands
sugaring;Recreational, Outdoors
motorsports_store;Shopping, Errands
public_toilet;Others / Not sure
pets;Shopping, Errands
sports_bar;Social, Cultural
auto_upholstery;Shopping, Errands
real_estate_investment;Others / Not sure
data_recovery;Others / Not sure
stone_and_masonry;Shopping, Errands
science_museum;Social, Cultural
cosmetic_dentist;Healthcare and Health
electricity_supplier;Others / Not sure
real_estate_law;Others / Not sure
patio_covers;Shopping, Errands
welding_supply_store;Shopping, Errands
truck_repair;Shopping, Errands
deck_and_railing_sales_service;Shopping, Errands
truck_rentals;Shopping, Errands
hindu_temple;Social, Cultural
leather_goods;Shopping, Errands
superstore;Shopping, Errands
commercial_refrigeration;Shopping, Errands
motorsport_vehicle_dealer;Shopping, Errands
mountain_bike_trails;Recreational, Outdoors
propane_supplier;Others / Not sure
orthodontist;Healthcare and Health
nail_salon;Recreational, Outdoors
trailer_rentals;Shopping, Errands
employment_law;Others / Not sure
forestry_service;Others / Not sure
afghan_restaurant;Social, Cultural
well_drilling;Others / Not sure
cleaning_services;Others / Not sure
emergency_room;Healthcare and Health
cards_and_stationery_store;Shopping, Errands
educational_camp;Education
specialty_grocery_store;Shopping, Errands
computer_coaching;Education
german_restaurant;Social, Cultural
landscaping;Others / Not sure
beach_equipment_rentals;Recreational, Outdoors
horse_trainer;Recreational, Outdoors
sports_and_fitness_instruction;Recreational, Outdoors
taxidermist;Others / Not sure
health_insurance_office;Healthcare and Health
fertilizer_store;Shopping, Errands
department_of_motor_vehicles;Others / Not sure
quay;Recreational, Outdoors
b2b_truck_equipment_parts_and_accessories;Others / Not sure
czech_restaurant;Social, Cultural
theatrical_productions;Social, Cultural
water_supplier;Others / Not sure
sake_bar;Social, Cultural
ophthalmologist;Healthcare and Health
ev_charging_station;Others / Not sure
psychic;Others / Not sure
